NO.,Species,Classification,Description (Flavor text),Primary Type,Secondary Type,Size,Rarity,Primary Habitat,Behavior,Activity,Evolution Requirement,Primary Ability,Secondary Ability,Hidden Ability,Capture DC,Lv,AC,HD,HP,VD,VP,Speed,Stat sum,STR,DEX,CON,INT,WIS,CHA,Saving throws,Proficiencies,Starting moves,2nd Level moves,6th Level moves,10th Level moves,14th Level moves,18th Level moves,Starting Move,Starting Move,Starting Move,Starting Move,2nd Level Move,2nd Level Move,2nd Level Move,2nd Level Move,6th Level Move,6th Level Move,6th Level Move,6th Level Move,10th Level Move,10th Level Move,10th Level Move,14th Level Move,14th Level Move,14th Level Move,18th Level Move,18th Level Move,18th Level Move,Primary ability description,Secondary ability description,Hidden ability description,Walking,Climbing,Flying,Hovering,Swimming,Burrowing,Sight,Hearing,Smell,Tremorsense,Echolocation,Telepathy,Blindsight,Darkvision,Truesight
11,Snift,Sand jackal,Snift serve as leaders of a Sandit pack. They are very nimble and stealthy. They can easily get close to their prey unnoticed.,Ground,Fighting,Small,Common,Desert,Stalking,Day,From: Sandit; Evolves: Bedouwara @ Level 14,Sand Rush,,Pickpocket,80,5,14,8,38,8,53,"45ft. Walking, 25ft. Burrowing",67,12,16,12,6,11,10,Dexterity,"Athletics, stealth","Slash, Growl, Quick Attack, ","Thief, Hone Claws, Tail Slap, Sand Attack","Fury Swipes, Double Team, Focus Energy, Dig","Baton Pass, Follow Me, Agility","Low Kick, Confide, Precipice Blades","Sandstorm, Mach Punch, ",Slash,Growl,Quick Attack,,Thief,Hone Claws,Tail Slap,Sand Attack,Fury Swipes,Double Team,Focus Energy,Dig,Baton Pass,Follow Me,Agility,Low Kick,Confide,Precipice Blades,Sandstorm,Mach Punch,,"This Pokémon is immune to Sandstorm damage, and itsspeed is doubled in desert terrain, or during a Sandstorm.",,"As a bonus action, this Pokémon can make a DEX checkcontested by the opponent’s WIS to attempt to steal a helditem. After the first attempt, all other attempts against thesame opponent are rolled at disadvantage.",45ft,-,-,-,-,25ft,Average,Average,Good,Good,-,-,-,Average,-
12,Bedouwara,Sand jackal,"This Pokémon has been excommunicated from its pack, and roams the landscape, staying briefly in one location before moving on. It can be sometimes be spotted during sandstorms.",Ground,Fighting,Medium,Very rare,Desert,Cautious,Night,From: Snift,Sand Rush,,Pickpocket,85,10,16,10,90,10,98,"50ft. Walking, 30ft. Burrowing",81,15,18,14,8,14,12,"Dexterity, wisdom","Athletics, acrobatics, stealth","Night Slash, Scary Face, Quick Attack, Spikes","Thief, Hone Claws, Tail Slap, Sand Attack","Fury Swipes, Double Team, Focus Energy, Dig","Baton Pass, Follow Me, Agility","Low Kick, Confide, Precipice Blades","Sandstorm, Mach Punch, Close Combat",Night Slash,Scary Face,Quick Attack,Spikes,Thief,Hone Claws,Tail Slap,Sand Attack,Fury Swipes,Double Team,Focus Energy,Dig,Baton Pass,Follow Me,Agility,Low Kick,Confide,Precipice Blades,Sandstorm,Mach Punch,Close Combat,"This Pokémon is immune to Sandstorm damage, and itsspeed is doubled in desert terrain, or during a Sandstorm.",,"As a bonus action, this Pokémon can make a DEX checkcontested by the opponent’s WIS to attempt to steal a helditem. After the first attempt, all other attempts against thesame opponent are rolled at disadvantage.",50ft,-,-,-,-,30ft,Average,Average,Good,Good,-,-,-,Good,-
13,Circuitail,Charge ferret,"Highly curious, they zoom around looking for anything interesting. When threatened, sparks fly from their antlers.",Electric,,Small,Common,Grassland,Curious,Day,Evolves: Amplifuzz @ Level 6,Static,,Motor Drive,50,1,12,6,10,6,24,45ft. Walking,63,13,14,10,6,10,10,Dexterity,Athletics,"Tackle, Tail Whip, Thunder Shock, ","Quick Attack, Confuse Ray, Charge, ","Thunder Fang, Light Screen, Revenge, Iron Head","Zing Zap, Work Up, Pursuit","Play Rough, Vacuum Wave, ","Volt Tackle, , ",Tackle,Tail Whip,Thunder Shock,,Quick Attack,Confuse Ray,Charge,,Thunder Fang,Light Screen,Revenge,Iron Head,Zing Zap,Work Up,Pursuit,Play Rough,Vacuum Wave,,Volt Tackle,,,"When this Pokémon is hit by a melee attack, roll a d4. On aresult of 4, the attacker takes an amount of electric damageequal to this Pokemon's proficiency bonus.",,"When hit by an electric-type move, if not immune, thisPokémon's speed increases by 10 feet until the end of combat(up to a max of 50 additional feet).",45ft,-,-,-,-,-,Good,Average,Average,-,-,-,-,-,-
14,Amplifuzz,Charge ferret,"Because of several encounters with danger, Amplifuzz is more cautious. It hunts prey by shocking it, leaving the prey paralyzed.",Electric,,Small,Uncommon,Grassland,Cautious,Day,From: Circuitail; Evolves: Flarelex @ Level 14,Static,,Motor Drive,65,5,14,8,33,8,52,45ft. Walking,69,12,16,11,6,12,12,Dexterity,Athletics,"Headbutt, Tail Whip, Thunder Shock, ","Quick Attack, Confuse Ray, Charge, ","Thunder Fang, Light Screen, Revenge, Iron Head","Zing Zap, Work Up, Pursuit","Play Rough, Vacuum Wave, ","Volt Tackle, Captivate, ",Headbutt,Tail Whip,Thunder Shock,,Quick Attack,Confuse Ray,Charge,,Thunder Fang,Light Screen,Revenge,Iron Head,Zing Zap,Work Up,Pursuit,Play Rough,Vacuum Wave,,Volt Tackle,Captivate,,"When this Pokémon is hit by a melee attack, roll a d4. On aresult of 4, the attacker takes an amount of electric damageequal to this Pokemon's proficiency bonus.",,"When hit by an electric-type move, if not immune, thisPokémon's speed increases by 10 feet until the end of combat(up to a max of 50 additional feet).",45ft,-,-,-,-,-,Good,Average,Average,-,-,-,-,-,-
15,Flarelex,Charge wolf,"Because of its incredible running speed, few see this Pokémon coming before it strikes.",Electric,,Medium,Rare,Grassland,Stalking,Day,From: Amplifuzz,Static,,Motor Drive,90,10,16,10,90,10,97,60ft. Walking,80,12,18,14,6,18,12,"Dexterity, charisma","Athletics, arcana","Head Charge, Tail Whip, Thunder Shock, Extreme Speed","Quick Attack, Confuse Ray, Charge, Roar","Thunder Fang, Light Screen, Revenge, Iron Head","Zing Zap, Work Up, Pursuit","Play Rough, Vacuum Wave, Horn Drill","Volt Tackle, Captivate, Last Resort",Head Charge,Tail Whip,Thunder Shock,Extreme Speed,Quick Attack,Confuse Ray,Charge,Roar,Thunder Fang,Light Screen,Revenge,Iron Head,Zing Zap,Work Up,Pursuit,Play Rough,Vacuum Wave,Horn Drill,Volt Tackle,Captivate,Last Resort,"When this Pokémon is hit by a melee attack, roll a d4. On aresult of 4, the attacker takes an amount of electric damageequal to this Pokemon's proficiency bonus.",,"When hit by an electric-type move, if not immune, thisPokémon's speed increases by 10 feet until the end of combat(up to a max of 50 additional feet).",60ft,-,-,-,-,-,Good,Average,Average,-,-,-,-,-,-
16,Toxchick,Venom warbler,"Hatchlings spend their first months in a nest made of thorns, feeding on poison bugs. This builds resistance to poison, and awakens its own venomous qualities.",Poison,Flying,Small,Uncommon,Grassland,Aggressive,Day,Evolves: Toxiclaw @ Level 4,Poison Touch,,Corrosion,75,1,11,6,10,6,23,"25ft. Walking, 45ft. Flying",64,10,14,11,6,13,10,Constitution,Intimidation,"Peck, Leer, Smog, Poison Gas","Gust, Smokescreen, Taunt, Supersonic","Wing Attack, Whirlwind, Swords Dance, Roost","Venoshock, Sing, Aerial Ace","Toxic Spikes, Mind Reader, ","Hex, , ",Peck,Leer,Smog,Poison Gas,Gust,Smokescreen,Taunt,Supersonic,Wing Attack,Whirlwind,Swords Dance,Roost,Venoshock,Sing,Aerial Ace,Toxic Spikes,Mind Reader,,Hex,,,"On melee attacks made by this Pokémon, roll a d10 on a hit.On a result of a 10, the target is poisoned.",,"This Pokémon's moves ignore poison immunity, and can inflict the poisoned status on steel and poison-type Pokémon.",25ft,-,45ft,-,-,-,Excellent,Good,Excellent,-,-,-,-,-,-
17,Toxiclaw,Venom raptor,The claw attacks from this Pokémon leaves its targets with a potent poison coursing through their bodies.,Poison,Flying,Small,Common,Grassland,Aggressive,Day,From: Toxchick; Evolves: Toxeak @ Level 13,Poison Touch,,Corrosion,70,5,14,10,50,10,59,"35ft. Walking, 55ft. Flying",70,10,15,14,6,15,10,Constitution,Intimidation,"Peck, Leer, Smog, Poison Gas","Gust, Smokescreen, Taunt, Supersonic","Wing Attack, Whirlwind, Swords Dance, Roost","Venoshock, Sing, Aerial Ace","Toxic Spikes, Mind Reader, Endeavor","Hex, Cross Poison, ",Peck,Leer,Smog,Poison Gas,Gust,Smokescreen,Taunt,Supersonic,Wing Attack,Whirlwind,Swords Dance,Roost,Venoshock,Sing,Aerial Ace,Toxic Spikes,Mind Reader,Endeavor,Hex,Cross Poison,,"On melee attacks made by this Pokémon, roll a d10 on a hit.On a result of a 10, the target is poisoned.",,"This Pokémon's moves ignore poison immunity, and can inflict the poisoned status on steel and poison-type Pokémon.",35ft,-,55ft,-,-,-,Excellent,Good,Excellent,-,-,-,-,-,-
18,Toxeak,Venom raptor,Toxeak spews poison from its beak in order to incapacitate prey. They also scatter their poisonous feathers to mark their territory.,Poison,Flying,Large,Very rare,Grassland,Territorial,Night,From: Toxiclaw,Poison Touch,,Corrosion,100,12,16,12,132,12,127,"45ft. Walking, 65ft. Flying",82,14,18,16,6,18,10,"Dexterity, constitution",Intimidation,"Drill Peck, Leer, Smog, Sky Attack","Gust, Smokescreen, Taunt, Supersonic","Wing Attack, Whirlwind, Swords Dance, Roost","Venoshock, Sing, Aerial Ace","Toxic Spikes, Mind Reader, Endeavor","Hex, Cross Poison, Dark Pulse",Drill Peck,Leer,Smog,Sky Attack,Gust,Smokescreen,Taunt,Supersonic,Wing Attack,Whirlwind,Swords Dance,Roost,Venoshock,Sing,Aerial Ace,Toxic Spikes,Mind Reader,Endeavor,Hex,Cross Poison,Dark Pulse,"On melee attacks made by this Pokémon, roll a d10 on a hit.On a result of a 10, the target is poisoned.",,"This Pokémon's moves ignore poison immunity, and can inflict the poisoned status on steel and poison-type Pokémon.",45ft,-,65ft,-,-,-,Excellent,Good,Excellent,-,-,-,-,Average,-
19,Hatenna,Calm,"Because the emotions of others constantly flow into its head, this Pokémon prefers environments where no other creatures live.",Fairy,Psychic,Tiny,Uncommon,Forest,Docile,Dusk,Evolves: Hattrem @ Level 4,Anticipation,,Magic Bounce,55,1,11,4,8,4,18,25ft. Walking,61,7,10,12,8,14,10,Wisdom,Arcana,"Teleport, Confusion, Pound, Play Nice","Disarming Voice, Aromatherapy, Calm Mind, ","Psybeam, Heal Pulse, Dazzling Gleam, ","Psychic, Healing Wish, ","Facade, Rest, Will-O-Wisp","Mystical Fire, , ",Teleport,Confusion,Pound,Play Nice,Disarming Voice,Aromatherapy,Calm Mind,,Psybeam,Heal Pulse,Dazzling Gleam,,Psychic,Healing Wish,,Facade,Rest,Will-O-Wisp,Mystical Fire,,,"When this Pokémon enters the battle, an opponent must reveal if it has a move that the Pokémon is vulnerable to. The move does not have to be revealed - only that there is such a move.",,"Once per long rest, when succumbing to a negative status effect, this Pokémon can instead reflect the effect back on the attacker.",25ft,-,-,-,-,-,Average,Average,Average,-,-,Good,-,-,-
20,Hattrem,Serene,"To this Pokémon, strong emotions apparently feel like incredibly loud noises—even if the emotions are happy ones.",Fairy,Psychic,Small,Uncommon,Forest,Neutral,Dusk,From: Hatenna; Evolves: Hatterene @ Level 8,Anticipation,,Magic Bounce,75,4,12,6,26,6,38,30ft. Walking,73,10,12,13,10,17,11,Wisdom,Arcana,"Teleport, Confusion, Pound, Play Nice","Disarming Voice, Aromatherapy, Calm Mind, Brutal Swing","Psybeam, Heal Pulse, Dazzling Gleam, ","Psychic, Healing Wish, ","Facade, Rest, Will-O-Wisp","Mystical Fire, Moonblast, ",Teleport,Confusion,Pound,Play Nice,Disarming Voice,Aromatherapy,Calm Mind,Brutal Swing,Psybeam,Heal Pulse,Dazzling Gleam,,Psychic,Healing Wish,,Facade,Rest,Will-O-Wisp,Mystical Fire,Moonblast,,"When this Pokémon enters the battle, an opponent must reveal if it has a move that the Pokémon is vulnerable to. The move does not have to be revealed - only that there is such a move.",,"Once per long rest, when succumbing to a negative status effect, this Pokémon can instead reflect the effect back on the attacker.",30ft,-,-,-,-,-,Average,Average,Average,-,-,Excellent,-,Average,-
21,Hatterene,Silent,Beware of forests that show no signs of living creatures within. You may have wandered into Hatterene's territory.,Fairy,Psychic,Medium,Rare,Forest,Protective,Dawn,From: Hattrem,Anticipation,,Magic Bounce,90,8,15,10,74,10,80,"35ft. Walking, 35ft. Hovering",82,10,14,14,10,20,14,"Wisdom, charisma",Arcana,"Teleport, Confusion, Pound, Play Nice","Disarming Voice, Aromatherapy, Calm Mind, Brutal Swing","Psybeam, Heal Pulse, Dazzling Gleam, Psycho Cut","Psychic, Healing Wish, ","Facade, Rest, Will-O-Wisp","Mystical Fire, Moonblast, Shadow Claw",Teleport,Confusion,Pound,Play Nice,Disarming Voice,Aromatherapy,Calm Mind,Brutal Swing,Psybeam,Heal Pulse,Dazzling Gleam,Psycho Cut,Psychic,Healing Wish,,Facade,Rest,Will-O-Wisp,Mystical Fire,Moonblast,Shadow Claw,"When this Pokémon enters the battle, an opponent must reveal if it has a move that the Pokémon is vulnerable to. The move does not have to be revealed - only that there is such a move.",,"Once per long rest, when succumbing to a negative status effect, this Pokémon can instead reflect the effect back on the attacker.",35ft,-,-,35ft,-,-,Average,Average,Average,-,-,Superior,-,Good,-
22,Diverigem,Aspect,These creatures change color based on which elemental gem they ingest. They will sometimes leave behind evolution stones.,Rock,,Medium,Common,Cave,Neutral,Night,None,Gemcrafter,,Mineral Refinery,60,4,15,10,50,10,56,35ft. Walking,76,14,14,18,6,12,12,Constitution,Survival,"Headbutt, Defense Curl, Sharpen, ","Rock Throw, Reflect, Smack Down, ","Power Gem, Stealth Rock, Guard Split, Cosmic Power","Ancient Power, Trick Room, Multi-Attack","Stone Edge, Moonblast, ","Diamond Storm, Light Screen, Prismatic Laser",Headbutt,Defense Curl,Sharpen,,Rock Throw,Reflect,Smack Down,,Power Gem,Stealth Rock,Guard Split,Cosmic Power,Ancient Power,Trick Room,Multi-Attack,Stone Edge,Moonblast,,Diamond Storm,Light Screen,Prismatic Laser,"This Pokémon can consume gems, changing its secondary type changes to the type of the gem it consumed.",,"Once per long rest, you may spend 50 VP in order to attempt to craft an evolution stone, proper materials are needed as well.
1: Dawn Stone
2: Dusk Stone
3: Fire Stone
4: Ice Stone
5: Leaf Stone
6: Moon Stone
7: Shiny Stone
8: Sun Stone
9: Thunder Stone
10: Water Stone
11: Dawn Stone
12: Dusk Stone
13: Fire Stone
14: Ice Stone
15: Leaf Stone
16: Moon Stone
17: Shiny Stone
18: Sun Stone
19: Thunder Stone
20: Water Stone",35ft,-,-,-,-,-,Good,Good,Average,Good,-,-,-,Average,-
